,ufos,duration_of_sighting,time_of_day
608,2,1800.0,1500
609,3,30.0,0
610,15,10.0,100
611,2,2700.0,200
612,6,600.0,430
613,6,1800.0,735
614,1,300.0,822
615,0,1800.0,1017
616,2,40.0,1030
617,3,20.0,1500
618,2,1800.0,1200
619,10,40.0,600
620,10,10.0,725
621,10,30.0,830
622,5,15.0,830
623,10,10.0,845
624,16,10.0,915
625,3,600.0,1100
626,5,20.0,1200
627,17,15.0,1200
628,13,0.42,1345
629,1,10.0,1715
630,2,15.0,200
631,1,15.0,805
632,2,900.0,912
633,2,600.0,945
634,1,10.0,1030
635,1,25.0,1600
636,19,20.0,925
637,15,20.0,1000
638,13,20.0,1000
639,1,900.0,1000
640,4,10.0,1100
641,14,600.0,1100
642,1,10.0,1100
643,1,20.0,2030
644,5,20.0,330
645,10,20.0,700
646,3,600.0,1400
647,4,60.0,1500
648,13,10.0,100
649,1,900.0,300
650,1,22.0,400
651,2,10.0,600
652,1,1800.0,800
653,1,10.0,900
654,11,30.0,930
655,3,900.0,1500
656,1,45.0,1945
657,2,600.0,0
658,1,30.0,337
659,9,1800.0,400
660,5,1800.0,440
661,10,900.0,630
662,1,600.0,718
663,1,1800.0,600
664,10,20.0,1100
665,10,15.0,1430
666,4,600.0,420
667,1,23.0,540
668,4,10.0,949
669,1,600.0,1000
670,4,30.0,1215
671,9,30.0,1300
672,3,90.0,1430
673,1,45.0,440
674,2,55.0,902
675,1,1800.0,1000
676,1,10.0,2115
677,3,30.0,245
678,4,600.0,400
679,1,1800.0,625
680,3,20.0,730
681,13,5400.0,735
682,13,1800.0,800
683,1,10.0,1030
684,3,20.0,1234
685,3,10.0,1330
686,1,2400.0,705
687,11,15.0,800
688,1,900.0,1000
689,13,1200.0,1015
690,0,10.0,22
691,7,1200.0,610
692,16,15.0,815
693,13,15.0,845
694,15,900.0,900
695,1,20.0,1015
696,2,900.0,1106
697,2,22.0,1445
698,8,15.0,600
699,11,600.0,1100
700,10,10.0,1100
701,4,30.0,1420
702,16,15.0,2045
703,15,1800.0,1630
704,2,31.0,905
705,5,15.0,905
706,0,1800.0,1115
707,1,10.0,0
708,2,900.0,225
709,5,600.0,730
710,5,15.0,800
711,3,2700.0,1719
712,5,25.0,800
713,10,600.0,1000
714,10,2400.0,1035
715,4,2700.0,1230
716,3,10.0,300
717,14,60.0,1000
