,latitude,longitude,type
639,53.383333,-2.6,fireball
640,39.987271,-90.763463,formation
641,40.3513889,-90.3244444,triangle
642,44.7930556,-89.7030556,other
643,29.4238889,-98.4933333,fireball
644,41.8327778,-87.9288889,light
645,45.5236111,-122.675,light
646,41.3683333,-82.1077778,triangle
647,40.7141667,-74.0063889,unknown
648,35.2225,-97.4391667,cigar
649,36.175,-115.1363889,light
650,36.241416,-115.050807,light
651,25.7738889,-80.1938889,unknown
652,39.0911111,-94.4152778,chevron
653,51.312374,3.132768,formation
654,47.3444444,-122.7619444,formation
655,41.7991667,-85.4191667,disk
656,43.866667,-79.266667,cigar
657,31.84694,120.872862,disk
658,36.9613889,-120.0597222,light
659,37.9577778,-121.2897222,sphere
660,33.3061111,-111.8405556,cigar
661,37.5202778,-122.2747222,unknown
662,44.3,-120.8333333,unknown
663,56.15,-3.75,triangle
664,39.0397222,-77.0555556,triangle
665,30.1658333,-81.7066667,other
666,38.8338889,-104.8208333,light
667,40.3461111,-94.8722222,light
668,-37.653829,145.517006,light
669,35.6144444,-88.8138889,triangle
670,42.9047222,-76.3944444,diamond
671,39.0997222,-94.5783333,light
672,44.3147222,-84.7647222,triangle
673,44.1897222,-70.1408333,oval
674,36.778261,-119.417932,triangle
675,42.8922222,-76.1055556,changing
676,48.9466667,-122.4508333,light
677,42.6525,-73.7566667,flash
678,-5.129547,-80.120569,other
679,36.7161111,-77.0683333,circle
680,22.396428,114.109497,formation
681,37.8044444,-122.2697222,oval
682,48.9202778,-122.3413889,other
683,48.1172222,-122.7591667,fireball
684,47.9130556,-122.0969444,sphere
685,47.2033333,-122.2391667,circle
686,38.2544444,-104.6086111,triangle
687,47.6063889,-122.3308333,unknown
688,47.6063889,-122.3308333,teardrop
689,47.6063889,-122.3308333,other
690,47.3811111,-122.2336111,unknown
691,47.8211111,-122.3138889,fireball
692,46.8883333,-122.6872222,light
693,42.6011111,-89.6383333,light
694,40.616187,-79.72411,light
695,41.9269444,-73.9977778,cigar
696,39.1730556,-77.2719444,cigar
697,39.337515,20.289964,cross
698,35.0241667,-110.6966667,other
699,47.9480556,-116.7069444,teardrop
700,35.1472222,-107.8508333,fireball
701,48.0319444,-122.7569444,fireball
702,28.5380556,-81.3794444,other
703,40.7141667,-74.0063889,egg
704,40.7141667,-74.0063889,light
705,37.6941667,-122.0852778,other
706,47.8108333,-122.3761111,unknown
707,40.5219444,-111.9383333,unknown
708,40.7141667,-74.0063889,changing
709,43.5008333,-70.4433333,circle
710,47.6741667,-122.1202778,light
711,44.3,-78.333333,unknown
712,33.7669444,-118.1883333,other
713,42.6566667,-83.7530556,unknown
