,latitude,longitude,type
379,32.3122222,-106.7777778,5
380,47.3525,-121.9825,10
381,40.155,-74.8291667,15
382,33.4483333,-112.0733333,3
383,41.6572222,-87.68,2
384,43.4194444,-83.9508333,9
385,43.25,-79.833333,0
386,41.7297222,-93.6055556,2
387,26.8230556,-80.1388889,1
388,43.866667,-79.033333,2
389,42.2916667,-85.5872222,5
390,39.103118,-84.51202,5
391,44.4905556,-73.1113889,1
392,39.1619444,-84.4569444,2
393,39.1619444,-84.4569444,5
394,26.1416667,-81.795,1
395,32.543889,-83.596111,1
396,39.1619444,-84.4569444,5
397,38.9458333,-84.6805556,5
398,42.4736111,-72.0066667,5
399,33.5966667,-83.8602778,1
400,39.7463889,-84.2866667,3
401,43.0297222,-76.0047222,9
402,26.9338889,-80.0944444,1
403,28.0833333,-80.6083333,3
404,45.3561111,-92.6333333,3
405,41.88,-88.0077778,11
406,45.583333,-72.0,1
407,40.8758333,-81.4025,5
408,42.4566667,-83.9463889,5
409,37.4791667,-82.5188889,4
410,33.590355,130.401716,4
411,39.0997222,-94.5783333,4
412,38.7230556,-80.65,2
413,38.007059,-119.012259,2
414,43.3652778,-72.1738889,8
415,40.9166667,-74.1722222,4
416,41.6638889,-83.5552778,3
417,36.1538889,-95.9925,4
418,36.1658333,-86.7844444,4
419,36.0688889,-79.4008333,10
420,37.2438889,-77.4105556,3
421,41.5241667,-76.4011111,4
422,53.55,-113.5,15
423,42.8863889,-78.8786111,1
424,48.5127778,-122.6113889,1
425,44.5647222,-123.2608333,4
426,42.5680556,-78.4791667,3
427,38.8922222,-89.4130556,2
428,56.031639,-121.905722,3
429,44.98,-93.2636111,4
430,42.3583333,-71.0602778,7
431,43.3616667,-70.4772222,2
432,37.775,-122.4183333,6
433,14.058324,108.277199,1
434,44.233333,-76.483333,3
435,40.7141667,-74.0063889,4
436,41.524898,-119.05102,6
437,40.7141667,-74.0063889,4
438,-33.137551,81.826172,1
439,34.1477778,-118.1436111,4
440,31.6261111,-97.5997222,4
441,47.8555556,-121.9697222,8
442,35.002778,-82.652778,9
443,39.7927778,-87.3708333,3
444,36.8527778,-75.9783333,4
445,39.1652778,-86.5263889,1
446,45.012466,-92.991883,10
447,43.2166667,-123.3405556,0
448,36.9086111,-116.7583333,4
449,35.1405556,-85.2327778,6
